用いる	を
する	て を
指す	を
代わる	に を
せる	て て に に
れる	と と も も
いる	で で に に の の は は
する	で を
する	を
する	を
する	て て を を
ある	が は
れる	で で に に により により
用いる	を
する	と を
いる	で で で でも でも でも は は は
れる	も も
ある	て も
する	を
れる	が が に に
せる	に に を を
れる	と と
持つ	が に
なる	が と
いる	が が が が が が は は は
いる	として として として は は は も も も
ある	が て て に は
集める	が を
行う	に を を
ある	も
する	に を
する	において
超える	を
する	て に
行く	て により
する	にかけて を
破る	も
する	が として に
なる	で と など は
れる	と と は は
ある	が
繰り返す	を
いる	と と を を
基づく	に
いる	と と
ある	が て として は
する	を
作る	を
いる	も も も
する	て で に は を を を通して
上回る	で を
おる	を を
いる	が が が て て て で で で に に に は は は
でる	が
いる	て て て て で で で で は は
いる	が が で で を を
加える	に
いる	て て て て において において は は を を
おる	が が に に は は
いく	を を
いる	て て て て も も
いる	て て と と
いる	
くる	が が が が て て て て と と
する	が と
する	は を
行う	は を
する	を
もたらす	に は を
する	に
題する	と
する	に は を
築く	を
なる	に
始める	が が と と に関して に関して
作り出す	で は を
する	は を
ふるまう	
する	を
する	として は を
する	は を
行う	を
れる	に に
れる	として として において において
れる	として として
示す	で に は を
する	を
示す	て は を
する	は を
する	は を
示す	を
れる	と と
ある	は も
する	に を
する	を
なる	に に に によって によって によって は は は
する	が に に は を
上げる	が で は を
する	に
する	に は を
負かす	に に を を
敗れる	が で に に は は
する	において を
使う	のに を
れる	によって によって
上回る	が を
する	は を
する	が に
する	で は も
れる	が が が が に に
れる	が が に に は は
適す	に
する	から に対して を
せる	を を
れる	が が が が
せる	に に に に により により を を
れる	が が
する	に を
せる	て て に に を を
する	に を
する	を
いる	に に に は は は も も も
する	
分かる	から が
いる	が が に に
見合う	に
見出せる	が
いる	から から が が て て にとって にとって は は は は も も
する	が に において は
進む	が
する	に につれて
せる	を を
至る	に
する	は
入る	に
基づく	に
なる	が が が
する	と を
立ち上がる	て と に に も
生まれる	から
られる	が が として として
費やす	として を
進める	て を
する	
異なる	が で
する	
行える	が
ある	に は も
至る	に は は まで も
する	
する	で を
する	て に
見つかる	が が で
くる	から から から として として として にかけて にかけて にかけて
する	を
れる	が が に に
用いる	を
する	を
する	て
する	を
迎える	が に を
合わせる	に
増やす	て で に も を
する	に を
始める	が が が
いる	が が に に まで まで を を
いる	から から で で と と
いる	が が について について は は
する	より
いる	が が が で で で は は は
なる	に
いる	が が が が て て て て て て て て に に に に は は は は
なる	が に
れる	に に
れる	て て に に は は は は は は
巻き込む	も
する	が で
言える	と も
言える	と
持つ	から が が
活かす	に を
する	を
漕ぎ着ける	に に
する	で も より
基づく	に
する	て に を
する	が という に も
関わる	に も
集める	から は を
